"","cx","cy","MONEYPY","BEDROOMS","UR","KOWNRENT","wKWH","NWEIGHT","income_group_level"
"95",307.549082088569,28.9536329098354,"$15,000 to $19,999",4,"Urban","Owned",11533.0905783213,37246.138326,"6"
"96",490.897444232474,9.13891150057316,"$20,000 to $24,999",4,"Urban","Owned",18408.6541587178,26284.227186,"7"
"97",205.649706761701,15.1836646222137,"$25,000 to $29,999",4,"Urban","Owned",7711.86400356379,17083.087974,"8"
"98",333.413333333333,57.4730366144437,"$30,000 to $34,999",4,"Urban","Owned",12503,7951.522023,"9"
"99",142.505049415605,14.8347207605839,"$35,000 to $39,999",4,"Urban","Owned",5343.93935308517,16329.657474,"10"
"100",682.767291904018,1.8963585793972,"$40,000 to $44,999",4,"Urban","Owned",25603.7734464007,51531.571957,"11"
"101",234.746666666667,45.2058721884382,"$45,000 to $49,999",4,"Urban","Owned",8803,7951.519832,"12"
"102",472.491775579881,14.3679291307926,"$50,000 to $54,999",4,"Urban","Owned",17718.4415842455,17020.963642,"13"
"103",702.24,19.0277648568153,"$55,000 to $59,999",4,"Urban","Owned",26334,11535.94649,"14"
"104",344.840308905308,-14.0932192620831,"$60,000 to $64,999",4,"Urban","Owned",12931.5115839491,17214.785734,"15"
"105",252.720003142077,19.692282122866,"$65,000 to $69,999",4,"Urban","Owned",9477.00011782791,14273.7664,"16"
"106",284.920877679858,-21.7743661791427,"$70,000 to $74,999",4,"Urban","Owned",10684.5329129947,15088.403813,"17"
"107",586.470857440093,-14.2085737982003,"$75,000 to $79,999",4,"Urban","Owned",21992.6571540035,20667.513685,"18"
"108",558.870209123766,4.80596832029406,"$90,000 to $94,999",4,"Urban","Owned",20957.6328421412,21399.355754,"21"
"109",235.779692807659,-4.00545846113003,"$95,000 to $99,999",4,"Urban","Owned",8841.73848028722,34928.837494,"22"
"110",162.933333333333,23.2075394887812,"$10,000 to $14,999",5,"Urban","Owned",6110,12294.50668,"5"
"111",553.458735019181,20.7416658729058,"$100,000 to $119,999",5,"Urban","Owned",20754.7025632193,18791.884873,"23"
"112",391.209679831104,-15.5861434918732,"$120,000 or More",5,"Urban","Owned",14670.3629936664,54625.45798,"24"
"113",638.933333333333,23.330876737833,"$35,000 to $39,999",5,"Urban","Owned",23960,10270.16267,"10"
"114",184.133333333333,31.4776716828346,"$40,000 to $44,999",5,"Urban","Owned",6905,6731.634831,"11"
"115",561.68,23.4215594672407,"$55,000 to $59,999",5,"Urban","Owned",21063,11535.94793,"14"
