"","cx_low","cy_low","cx_high","cy_high","MONEYPY","BEDROOMS","UR","KOWNRENT","TaxLow","TaxHigh","NWEIGHT","income_group_level"
"80",16.6065605890316,-11.2510018069185,177.936202148418,-37.6807530959616,"$45,000 to $49,999",3,"Urban","Owned",2.26,84.75,44055.340882,"12"
"81",285.488896068485,1.66577433049679,269.206969537858,8.19890788909017,"$50,000 to $54,999",3,"Urban","Owned",38.87,128.22,52237.836118,"13"
"82",20.8781105598318,-38.3380305856471,222.077939541242,-8.10673221047523,"$55,000 to $59,999",3,"Urban","Owned",2.84,105.78,47824.473805,"14"
"83",20.9477349320448,47.9081042754709,271.643836600779,-12.1604964004284,"$60,000 to $64,999",3,"Urban","Owned",2.85,129.38,70005.244509,"15"
"84",21.6527485444239,71.9794000569308,238.825067699525,0.534204825578399,"$65,000 to $69,999",3,"Urban","Owned",2.95,113.75,31754.864281,"16"
"85",17.5654224650865,-1.36990320856044,196.951047203091,12.037178991658,"$70,000 to $74,999",3,"Urban","Owned",2.39,93.81,53448.566394,"17"
"86",22.2171958646718,19.8518320442301,245.863333497232,-17.6666663027738,"$75,000 to $79,999",3,"Urban","Owned",3.03,117.1,39497.823647,"18"
"87",743.374767014855,-15.0074455589056,483.34759416095,15.4290335178375,"$80,000 to $84,999",3,"Urban","Owned",101.22,230.22,16054.431789,"19"
"88",23.0243594203981,28.6981816403456,260.270383329906,23.9950977437084,"$85,000 to $89,999",3,"Urban","Owned",3.14,123.97,61267.332532,"20"
"89",20.3884620170022,3.35645191375626,228.906675405406,17.3016526388604,"$95,000 to $99,999",3,"Urban","Owned",2.78,109.03,33586.303363,"22"
"90",26.556843593128,78.7682013590557,259.426251181526,-26.0949294866818,"$100,000 to $119,999",3,"Urban","Owned",3.62,123.56,94140.869242,"23"
"91",26.964988991108,53.040740562623,280.827142828702,-34.2736083623353,"$120,000 or More",3,"Urban","Owned",3.67,133.76,174740.952552,"24"
"92",18.5328312923287,-57.5304797817952,264.917295713544,34.5633339602035,"$10,000 to $14,999",4,"Urban","Owned",2.52,126.18,13851.28453,"5"
"93",20.1267144840475,-58.0371569490959,243.050649664241,42.7368344316567,"$15,000 to $19,999",4,"Urban","Owned",2.74,115.76,37246.138326,"6"
"94",371.064792018819,9.13891150057316,484.84691993258,-7.42853846876507,"$20,000 to $24,999",4,"Urban","Owned",50.53,230.93,26284.227186,"7"
"95",15.1618036722798,-36.899094126434,163.008405775325,20.9768258837945,"$25,000 to $29,999",4,"Urban","Owned",2.06,77.64,17083.087974,"8"
"96",18.3639237318106,44.8359778139052,262.502848970236,60.1361194367023,"$30,000 to $34,999",4,"Urban","Owned",2.5,125.03,7951.522023,"9"
"97",13.172852333608,43.7356434609218,113.719059807035,-20.6812998083753,"$35,000 to $39,999",4,"Urban","Owned",1.79,54.16,16329.657474,"10"
"98",39.3566339146984,15.3500331497066,538.056600156945,3.41087535233767,"$40,000 to $44,999",4,"Urban","Owned",5.36,256.28,51531.571957,"11"
"99",12.9295065673141,-34.0821437870968,184.820649402942,42.0287834301648,"$45,000 to $49,999",4,"Urban","Owned",1.76,88.03,7951.519832,"12"
"100",26.0241629928518,-37.393219424951,372.002031126702,-14.7033506631851,"$50,000 to $54,999",4,"Urban","Owned",3.54,177.18,17020.963642,"13"
"101",38.9285110224805,-51.6952000715618,552.958823891186,-19.8916081637144,"$55,000 to $59,999",4,"Urban","Owned",5.3,263.37,11535.94649,"14"
"102",18.9933050039723,20.6960351813866,271.499530694892,40.5970611294714,"$60,000 to $64,999",4,"Urban","Owned",2.59,129.32,17214.785734,"15"
"103",29.0884526769924,20.133404825961,203.308070661818,33.3837999285776,"$65,000 to $69,999",4,"Urban","Owned",3.96,96.84,14273.7664,"16"
"104",22.5840636605066,-17.6290227115208,226.293864477852,-36.2523975794454,"$70,000 to $74,999",4,"Urban","Owned",3.08,107.78,15088.403813,"17"
"105",34.9722147156303,-39.5743515144932,462.503391853654,-14.3247397419695,"$75,000 to $79,999",4,"Urban","Owned",4.76,220.29,20667.513685,"18"
"106",34.0812132010318,-10.6714374448042,440.952743182317,-6.61849661941868,"$90,000 to $94,999",4,"Urban","Owned",4.64,210.03,21399.355754,"21"
"107",25.9178609254122,5.18091078910571,189.330941652962,0.0772958950600184,"$95,000 to $99,999",4,"Urban","Owned",3.53,90.18,34928.837494,"22"
"108",29.4070963682232,-4.91481683096359,308.43412680729,5.35866608113589,"$100,000 to $119,999",4,"Urban","Owned",4,146.91,61909.598816,"23"
"109",29.1278384330824,30.3903440122086,283.796957658697,19.4592558880488,"$120,000 or More",4,"Urban","Owned",3.97,135.17,125494.773783,"24"
"110",23.7228832795973,-72.1144398915951,132.497121540747,25.1854696346839,"$10,000 to $14,999",5,"Urban","Owned",3.23,63.11,12294.50668,"5"
"111",44.2368900996991,39.1268237381331,505.630707608936,23.6602141261101,"$35,000 to $39,999",5,"Urban","Owned",6.02,240.83,10270.16267,"10"
"112",17.5161730136666,43.825148927359,147.080038698503,31.4776716828346,"$40,000 to $44,999",5,"Urban","Owned",2.39,70.05,6731.634831,"11"
"113",34.7888070283905,-25.2759428530402,443.322996315395,24.1015666541553,"$55,000 to $59,999",5,"Urban","Owned",4.74,211.15,11535.94793,"14"
"114",68.9700976244391,-22.8285197168589,799.302052743884,23.1174065172672,"$70,000 to $74,999",5,"Urban","Owned",9.39,469.58,10512.33274,"17"
"115",31.886442712683,-63.6764036425831,243.30390329907,-44.6160774418538,"$75,000 to $79,999",5,"Urban","Owned",4.34,115.89,7136.883623,"18"
"116",22.6621710320982,-20.1641029263642,176.548251431204,36.1411521083831,"$85,000 to $89,999",5,"Urban","Owned",3.09,84.09,10899.1794978,"20"
"117",44.467406288179,-8.33360961454802,439.746700613461,17.2470403536957,"$100,000 to $119,999",5,"Urban","Owned",6.06,209.45,18791.884873,"23"
"118",30.3419038867053,-53.4857001573137,310.521342263858,-10.4579131932777,"$120,000 or More",5,"Urban","Owned",4.13,147.9,54625.45798,"24"
"119",34.9140189373833,5.77598166719723,301.018969471031,-37.9386625459288,"$100,000 to $119,999",6,"Urban","Owned",4.75,143.38,11655.00162,"23"
"120",52.3857619188266,-31.1630351692438,286.549741262101,-49.0930314580338,"$120,000 or More",6,"Urban","Owned",7.13,136.48,7136.881787,"24"
"121",36.4766892649377,-77.8858087527464,521.415520609119,27.8211347907782,"$75,000 to $79,999",7,"Urban","Owned",4.97,248.35,7951.518624,"18"
"123",8.99175726514792,50.6888944999766,128.532547500263,11.2916451557394,"$20,000 to $24,999",1,"Rural","Rent",1.22,61.22,16624.03137,"7"
"124",8.71122383854824,-45.5525156506554,124.522466387465,-20.2526571994052,"$35,000 to $39,999",2,"Rural","Rent",1.19,59.31,11269.88531,"10"
"125",16.1464964242847,-63.1073206457883,188.070752902726,21.8161091822201,"Less than $2,500",3,"Rural","Rent",2.2,89.58,34606.8381,"1"
"126",21.5011980732604,13.6417618768431,307.348572828544,34.3255692677074,"$45,000 to $49,999",3,"Rural","Rent",2.93,146.39,9263.263202,"12"
"127",37.293320601008,-59.1935591154955,533.088845733285,-24.2117170542479,"$55,000 to $59,999",3,"Rural","Rent",5.08,253.91,9862.933988,"14"
"128",16.8716621536678,-34.5629393639362,241.171736872839,-26.2061526942628,"$70,000 to $74,999",3,"Rural","Rent",2.3,114.87,11965.16466,"17"
"129",8.75587098744555,-13.8490569830372,95.2046892066897,10.3251097623917,"$5,000 to $7,499",1,"Urban","Rent",1.19,45.35,27317.8283,"3"
"130",15.1185779479131,-62.6475510626294,216.112299400977,-23.109805731131,"$7,500 to $9,999",1,"Urban","Rent",2.06,102.93,39123.58664,"4"
"131",4.4083037343488,-23.6535088099278,57.3142242725945,-5.67843650281429,"$10,000 to $14,999",1,"Urban","Rent",0.6,27.3,37102.22535,"5"
